iter	RMSE
0	76.54137563
1	74.98978392
2	73.56374377
3	72.11301551
4	70.83789468
5	69.53377708
6	68.24789755
7	67.0462252
8	65.83420973
9	64.54659953
10	63.30249446
11	62.07455182
12	61.02651693
13	59.96535763
14	58.90944848
15	57.86322197
16	56.78475329
17	55.90895522
18	54.82507303
19	53.80513508
20	52.88449196
21	51.95970257
22	50.97087006
23	50.11014229
24	49.31661236
25	48.4676289
26	47.60158526
27	46.83136825
28	46.1284569
29	45.34198958
30	44.57459178
31	43.81943953
32	43.0729613
33	42.33549881
34	41.70083138
35	40.97942129
36	40.24812459
37	39.61289145
38	38.99259894
39	38.46553017
40	37.83961756
41	37.27570849
42	36.73441663
43	36.13540436
44	35.53873727
45	35.02642295
46	34.49187969
47	33.95103287
48	33.49330629
49	33.01102939
50	32.47671368
51	32.03150386
52	31.60061223
53	31.07715412
54	30.63149952
55	30.21368897
56	29.78512186
57	29.40977021
58	28.99227872
59	28.61062853
60	28.21672328
61	27.82283226
62	27.54787324
63	27.28378905
64	26.90744188
65	26.5396873
66	26.21244764
67	25.8539519
68	25.5555108
69	25.17997884
70	24.86108383
71	24.5659989
72	24.24215812
73	23.90807893
74	23.62724647
75	23.31671084
76	23.06386269
77	22.81938533
78	22.59166961
79	22.34234473
80	22.04096665
81	21.7742577
82	21.5043355
83	21.27641015
84	21.02982352
85	20.82144601
86	20.64673131
87	20.4105586
88	20.20998613
89	20.00720742
90	19.81160564
91	19.63470651
92	19.44574719
93	19.25130889
94	19.10081405
95	18.89062997
96	18.69551303
97	18.47953642
98	18.30981982
99	18.16429105
100	18.00159359
101	17.82880254
102	17.66757466
103	17.52692274
104	17.38562775
105	17.2125039
106	17.05536466
107	16.88623612
108	16.74019117
109	16.56257083
110	16.40220625
111	16.29439683
112	16.15699011
113	16.02261468
114	15.88516569
115	15.7482649
116	15.62156313
117	15.50653165
118	15.35896721
119	15.23223752
120	15.11810145
121	14.99183861
122	14.8851649
123	14.7604455
124	14.66533421
125	14.53787247
126	14.46755337
127	14.34348527
128	14.23660417
129	14.12815445
130	14.04491009
131	13.95702575
132	13.87207555
133	13.77203819
134	13.68758733
135	13.57911947
136	13.48418467
137	13.39892091
138	13.31922783
139	13.23894489
140	13.16025217
141	13.07658329
142	13.00729793
143	12.92146659
144	12.84928001
145	12.76242648
146	12.69615423
147	12.60998003
148	12.51943251
149	12.43914455
150	12.36973734
151	12.29168786
152	12.22856612
153	12.16916749
154	12.11398612
155	12.04796631
156	11.99044415
157	11.93525246
158	11.87747376
159	11.81265135
160	11.75297384
161	11.69517478
162	11.64160304
163	11.57375424
164	11.51392951
165	11.46605231
166	11.41112678
167	11.3599567
168	11.30983798
169	11.26054274
170	11.19820553
171	11.1549003
172	11.10800104
173	11.06474092
174	11.01276839
175	10.96471171
176	10.91953549
177	10.87463535
178	10.82535629
179	10.79045333
180	10.75197318
181	10.70882574
182	10.66942583
183	10.63007737
184	10.59379261
185	10.55703189
186	10.51437915
187	10.47727285
188	10.44109637
189	10.40666822
190	10.36776659
191	10.33518656
192	10.30136489
193	10.26797198
194	10.23638869
195	10.19646917
196	10.16055366
197	10.1254991
198	10.09472168
199	10.06471221
200	10.02183784
201	9.995445429
202	9.972768526
203	9.941270592
204	9.915949397
205	9.88956075
206	9.861923535
207	9.828833544
208	9.800428746
209	9.774595798
210	9.748415848
211	9.724637133
212	9.703138146
213	9.673878331
214	9.648129365
215	9.623135636
216	9.591514493
217	9.569726413
218	9.550265595
219	9.525607526
220	9.494465953
221	9.464581489
222	9.444224633
223	9.413435302
224	9.393495885
225	9.374778322
226	9.351029158
227	9.324680116
228	9.308846357
229	9.286821159
230	9.262263866
231	9.238566368
232	9.224286614
233	9.211945766
234	9.183001469
235	9.166330336
236	9.150488369
237	9.134517029
238	9.116567536
239	9.098087341
240	9.080803242
241	9.062857572
242	9.048140525
243	9.033045474
244	9.018347834
245	8.994838138
246	8.981717003
247	8.959108189
248	8.938422424
249	8.908459429
250	8.895258113
251	8.881483401
252	8.869938253
253	8.856917619
254	8.830926499
255	8.819398696
256	8.798283959
257	8.788948323
258	8.776408267
259	8.755884614
260	8.737933569
261	8.712435733
262	8.700924076
263	8.690402938
264	8.667902634
265	8.659493204
266	8.649126077
267	8.639363588
268	8.617908755
269	8.601993948
270	8.593452355
