iter	Passed	Remaining
0	2	2044
1	5	2679
2	8	2760
3	10	2525
4	12	2512
5	14	2402
6	16	2314
7	18	2248
8	20	2243
9	25	2525
10	28	2559
11	30	2501
12	32	2472
13	36	2537
14	38	2542
15	42	2624
16	45	2650
17	48	2634
18	50	2599
19	52	2592
20	56	2634
21	58	2592
22	60	2556
23	61	2519
24	63	2494
25	66	2492
26	68	2485
27	72	2510
28	75	2511
29	76	2472
30	78	2450
31	79	2408
32	82	2404
33	83	2365
34	86	2391
35	88	2359
36	89	2322
37	90	2287
38	91	2254
39	92	2226
40	94	2217
41	96	2206
42	98	2191
43	100	2176
44	101	2161
45	103	2148
46	105	2146
47	110	2191
48	115	2233
49	118	2258
50	123	2292
51	127	2324
52	131	2355
53	134	2349
54	137	2361
55	139	2357
56	143	2366
57	151	2456
58	155	2482
59	159	2501
60	162	2500
61	164	2491
62	166	2480
63	169	2480
64	171	2470
65	176	2491
66	177	2476
67	179	2459
68	181	2451
69	183	2441
70	190	2490
71	192	2486
72	195	2480
73	197	2469
74	199	2456
75	202	2458
76	205	2458
77	207	2447
78	209	2440
79	211	2429
80	213	2422
81	215	2412
82	217	2401
83	219	2398
84	222	2397
85	224	2388
86	226	2380
87	228	2371
88	230	2361
89	235	2377
90	238	2384
91	240	2378
92	244	2379
93	247	2385
94	249	2378
95	251	2370
96	257	2399
97	261	2404
98	265	2413
99	269	2422
100	272	2423
101	275	2425
102	278	2428
103	281	2429
104	283	2419
105	285	2409
106	287	2400
107	291	2404
108	295	2411
109	297	2404
110	299	2395
111	301	2388
112	304	2387
113	307	2393
114	311	2394
115	312	2384
116	315	2381
117	319	2391
118	328	2429
119	330	2421
120	332	2416
121	336	2418
122	338	2410
123	340	2403
124	342	2398
125	346	2401
126	348	2393
127	353	2406
128	357	2415
129	363	2432
130	365	2423
131	371	2442
132	375	2447
133	379	2452
134	383	2457
135	390	2480
136	393	2481
137	397	2482
138	400	2480
139	404	2483
140	406	2478
141	409	2471
142	411	2465
143	413	2458
144	416	2457
145	419	2454
146	422	2449
147	425	2450
148	430	2460
149	432	2452
150	435	2450
151	437	2442
152	443	2453
153	446	2453
154	449	2448
155	451	2440
156	453	2433
157	456	2434
158	459	2428
159	461	2421
160	463	2415
161	466	2414
162	469	2412
163	473	2415
164	475	2408
165	477	2400
166	479	2394
167	481	2386
168	483	2378
169	485	2370
170	487	2362
171	489	2357
172	492	2353
173	494	2349
174	498	2347
175	505	2364
176	506	2357
177	509	2352
178	515	2362
179	519	2364
180	521	2359
181	523	2351
182	525	2345
183	528	2345
184	533	2349
185	538	2357
186	543	2361
187	545	2354
188	547	2348
189	550	2345
190	552	2338
191	554	2332
192	557	2332
193	560	2326
194	561	2319
195	564	2314
196	569	2319
197	571	2313
198	574	2310
199	576	2307
200	579	2303
201	581	2297
202	589	2316
203	595	2323
204	600	2327
205	609	2350
206	614	2353
207	616	2348
208	618	2342
209	621	2336
210	625	2337
211	627	2331
212	631	2332
213	635	2335
214	639	2336
215	642	2331
216	646	2334
217	650	2334
218	652	2328
219	658	2333
220	661	2330
221	663	2323
222	666	2321
223	667	2314
224	669	2306
225	671	2299
226	673	2292
227	675	2288
228	678	2284
229	681	2282
230	688	2293
231	692	2291
232	705	2321
233	708	2320
234	724	2359
235	727	2355
236	731	2354
237	732	2346
238	734	2338
239	739	2340
240	743	2341
241	750	2351
242	755	2352
243	758	2350
244	763	2354
245	766	2350
246	769	2346
247	772	2343
248	774	2336
249	776	2329
250	778	2322
251	780	2317
252	782	2310
253	784	2304
254	786	2297
255	788	2290
256	789	2283
257	791	2276
258	793	2269
259	797	2270
260	803	2275
261	805	2268
262	806	2260
263	807	2251
264	808	2243
265	810	2237
266	812	2231
267	815	2227
268	819	2226
269	821	2220
270	823	2213
271	824	2208
272	829	2208
273	831	2202
274	834	2198
275	835	2191
276	836	2183
277	837	2175
278	838	2167
279	839	2159
280	841	2151
281	842	2144
282	843	2137
283	845	2131
284	848	2128
285	849	2121
286	850	2113
287	852	2106
288	853	2098
289	854	2091
290	855	2084
291	856	2077
292	857	2069
293	859	2063
294	860	2055
295	861	2048
296	862	2041
297	864	2036
298	865	2030
299	867	2024
300	868	2017
301	869	2010
302	871	2004
303	872	1998
304	874	1991
305	875	1985
306	876	1978
307	877	1971
308	878	1964
309	879	1957
310	880	1951
311	881	1944
312	882	1938
313	884	1931
314	885	1925
315	886	1919
316	887	1912
317	888	1906
318	890	1900
319	891	1893
320	892	1887
321	893	1880
322	894	1874
323	895	1868
324	896	1862
325	897	1856
326	898	1849
327	899	1843
328	901	1837
329	902	1831
330	903	1825
331	904	1819
332	905	1813
333	906	1807
334	908	1803
335	910	1799
336	912	1795
337	914	1790
338	916	1786
339	917	1781
340	921	1780
341	928	1785
342	929	1781
343	931	1776
344	934	1773
345	935	1769
346	938	1766
347	940	1761
348	942	1757
349	944	1753
350	946	1749
351	948	1745
352	949	1741
353	951	1736
354	953	1732
355	955	1728
356	957	1723
357	958	1719
358	960	1715
359	961	1710
360	963	1704
361	964	1699
362	965	1693
363	966	1688
364	967	1683
365	968	1677
366	969	1672
367	970	1667
368	971	1662
369	973	1656
370	974	1651
371	975	1646
372	976	1641
373	977	1636
374	980	1633
375	982	1629
376	983	1625
377	986	1622
378	988	1619
379	990	1616
380	992	1613
381	996	1612
382	998	1608
383	1001	1607
384	1003	1603
385	1005	1599
386	1008	1597
387	1011	1596
388	1014	1593
389	1017	1591
390	1024	1595
391	1029	1596
392	1031	1592
393	1033	1589
394	1035	1586
395	1038	1583
396	1040	1580
397	1044	1579
398	1046	1576
399	1050	1575
400	1052	1571
401	1060	1577
402	1062	1574
403	1065	1572
404	1068	1570
405	1071	1567
406	1074	1565
407	1078	1564
408	1081	1562
409	1085	1561
410	1087	1557
411	1091	1557
412	1098	1561
413	1101	1559
414	1108	1563
415	1111	1559
416	1113	1557
417	1116	1553
418	1119	1551
419	1121	1548
420	1123	1544
421	1125	1541
422	1127	1537
423	1130	1535
424	1132	1532
425	1136	1530
426	1138	1527
427	1140	1524
428	1142	1520
429	1144	1516
430	1146	1513
431	1148	1510
432	1154	1511
433	1156	1508
434	1160	1507
435	1162	1503
436	1164	1500
437	1168	1499
438	1170	1496
439	1173	1492
440	1176	1490
441	1180	1489
442	1185	1490
443	1187	1486
444	1189	1483
445	1191	1480
446	1201	1486
447	1205	1484
448	1208	1483
449	1213	1482
450	1214	1478
451	1216	1474
452	1223	1477
453	1228	1477
454	1231	1474
455	1233	1470
456	1236	1468
457	1250	1479
458	1252	1476
459	1260	1479
460	1267	1481
461	1269	1477
462	1274	1478
463	1277	1475
464	1279	1471
465	1284	1471
466	1286	1468
467	1288	1464
468	1290	1460
469	1293	1458
470	1296	1455
471	1298	1452
472	1302	1451
473	1306	1449
474	1308	1445
475	1310	1442
476	1313	1439
477	1316	1437
478	1318	1434
479	1322	1432
480	1326	1431
481	1336	1436
482	1339	1433
483	1344	1433
484	1348	1431
485	1351	1429
486	1357	1429
487	1358	1425
488	1361	1423
489	1364	1420
490	1369	1419
491	1376	1421
492	1383	1422
493	1385	1419
494	1388	1416
495	1390	1413
496	1394	1411
497	1396	1408
498	1398	1404
499	1405	1405
500	1408	1403
501	1411	1400
502	1413	1396
503	1417	1394
504	1423	1395
505	1425	1392
506	1427	1388
507	1430	1385
508	1432	1381
509	1434	1378
510	1437	1375
511	1439	1372
512	1441	1368
513	1446	1367
514	1452	1368
515	1454	1364
516	1457	1362
517	1460	1359
518	1469	1361
519	1472	1359
520	1475	1356
521	1477	1352
522	1480	1350
523	1483	1347
524	1485	1343
525	1490	1342
526	1492	1339
527	1495	1336
528	1498	1334
529	1501	1331
530	1503	1328
531	1506	1325
532	1508	1321
533	1510	1318
534	1513	1315
535	1515	1312
536	1517	1308
537	1519	1305
538	1521	1301
539	1523	1298
540	1525	1294
541	1527	1290
542	1528	1286
543	1532	1284
544	1535	1281
545	1537	1278
546	1539	1275
547	1542	1272
548	1544	1268
549	1547	1265
550	1549	1262
551	1555	1262
552	1557	1259
553	1559	1255
554	1563	1253
555	1568	1252
556	1570	1249
557	1574	1246
558	1577	1244
559	1579	1240
560	1581	1237
561	1582	1233
562	1584	1230
563	1587	1227
564	1589	1223
565	1590	1219
566	1591	1215
567	1592	1211
568	1593	1207
569	1595	1203
570	1598	1200
571	1600	1197
572	1603	1194
573	1605	1191
574	1607	1187
575	1609	1184
576	1611	1181
577	1614	1178
578	1616	1175
579	1619	1172
580	1621	1169
581	1623	1166
582	1626	1163
583	1630	1161
584	1631	1157
585	1632	1153
586	1634	1149
587	1635	1145
588	1636	1141
589	1637	1137
590	1638	1134
591	1640	1130
592	1641	1126
593	1643	1123
594	1646	1120
595	1647	1117
596	1649	1113
597	1651	1109
598	1653	1106
599	1655	1103
600	1657	1100
601	1658	1096
602	1660	1093
603	1662	1089
604	1664	1086
605	1666	1083
606	1668	1080
607	1670	1076
608	1671	1073
609	1673	1069
610	1675	1066
611	1678	1064
612	1680	1061
