iter	Logloss
0	0.6880416779
1	0.6811878949
2	0.6740613251
3	0.6675158677
4	0.6616607758
5	0.6566849773
6	0.6507782374
7	0.6454186983
8	0.638458978
9	0.6323468333
10	0.626642124
11	0.6212488192
12	0.6159170055
13	0.6103950022
14	0.6043531435
15	0.5998004203
16	0.5953191954
17	0.5904278774
18	0.5860687432
19	0.5801903751
20	0.5750868038
21	0.5703978009
22	0.5650894178
23	0.56029148
24	0.5557219219
25	0.5518245265
26	0.5476059688
27	0.542991289
28	0.5387096201
29	0.5349416568
30	0.5311523326
31	0.526920314
32	0.5230452483
33	0.519048624
34	0.5148144477
35	0.5110009782
36	0.507332933
37	0.5038390868
38	0.500074911
39	0.4964202029
40	0.4925741111
41	0.4895342088
42	0.4866674293
43	0.482535594
44	0.4792613475
45	0.476119131
46	0.473845918
47	0.4701633879
48	0.4670652732
49	0.4635811585
50	0.4608661985
51	0.4575380561
52	0.4555061834
53	0.452540316
54	0.4497152992
55	0.4469237396
56	0.4445557805
57	0.4421754593
58	0.4395939545
59	0.4370238447
60	0.4345578115
61	0.4316733428
62	0.429355656
63	0.4269038902
64	0.4244693129
65	0.4216511211
66	0.4191849201
67	0.4165674644
68	0.4142281019
69	0.4115327989
70	0.4091211227
71	0.4074162856
72	0.4054963076
73	0.4031034807
74	0.400864033
75	0.3989740107
76	0.39626442
77	0.3940286297
78	0.3919447155
79	0.3897245546
80	0.3877919294
81	0.3860523696
82	0.384849141
83	0.3827521987
84	0.3807014677
85	0.3786814065
86	0.3766726212
87	0.3748788252
88	0.3729879836
89	0.3716050588
90	0.3700703834
91	0.368367168
92	0.3668536179
93	0.365153916
94	0.3633898466
95	0.3617746755
96	0.3601728904
97	0.3588572114
98	0.3574386898
99	0.3561566507
100	0.3542964504
101	0.3529402245
102	0.351341775
103	0.3495472992
104	0.3482855627
105	0.3469353065
106	0.3453649887
107	0.3439004474
108	0.3420680813
109	0.3407828703
110	0.3396867343
111	0.33814129
112	0.3368020531
113	0.335647941
114	0.3342076473
115	0.3327703126
116	0.3313538211
117	0.3299144269
118	0.3288212432
119	0.327451342
120	0.3263450996
121	0.3256497116
122	0.3244797576
123	0.3231179085
124	0.3221765087
125	0.3210558696
126	0.3201599094
127	0.31930052
128	0.3181344226
129	0.3169925704
130	0.315907895
131	0.3148409669
132	0.3138018428
133	0.3124840993
134	0.3114207027
135	0.3108089253
136	0.3099712495
137	0.3092633802
138	0.308282796
139	0.3075650921
140	0.306689856
141	0.3056452563
142	0.3049460197
143	0.3041927328
144	0.3031736733
145	0.3024059171
146	0.3017147636
147	0.3010534064
148	0.3003098153
149	0.2993973254
150	0.2986650939
151	0.2979081589
152	0.2971724484
153	0.2962776495
154	0.2954553894
155	0.2946502871
156	0.2938533423
157	0.2935374779
158	0.2929713845
159	0.2924042544
160	0.2914771257
161	0.2909446614
162	0.2905113802
163	0.2899944617
164	0.2893139745
165	0.2886914082
166	0.2877656144
167	0.2871482658
168	0.28657385
169	0.2860943167
170	0.285666152
171	0.2851504034
172	0.2843483236
173	0.2837427069
174	0.2831211517
175	0.2824900615
176	0.2819249047
177	0.2812694994
178	0.2805272261
179	0.2799201237
180	0.2793249939
181	0.2787770594
182	0.2781585544
183	0.2774773944
184	0.2770825601
185	0.276161895
186	0.2753232962
187	0.2749442093
188	0.2743683071
189	0.2738498013
190	0.2734752501
191	0.2727957514
192	0.2721289181
193	0.2715451694
194	0.2709282338
195	0.2704455754
196	0.2701043422
197	0.2693715955
198	0.2689689663
199	0.2685241364
200	0.2680493846
201	0.2676293066
202	0.267338959
203	0.2667889087
204	0.2663730936
205	0.2657944511
206	0.2653274493
207	0.2646821441
208	0.2642156908
209	0.2636638543
210	0.2633602061
211	0.2626014551
212	0.2621525983
213	0.2617451655
214	0.2612985943
215	0.2606553686
216	0.2602661693
217	0.2597976736
218	0.2593801943
219	0.2589390085
220	0.2588538825
221	0.2584327842
222	0.2580295439
223	0.2576658629
224	0.2572082584
225	0.256872185
226	0.2564625354
227	0.2561275146
228	0.2555034313
229	0.2552229779
230	0.2549246178
231	0.2545359958
232	0.2541215052
233	0.2536990493
234	0.2533088181
235	0.2528675427
236	0.2524836975
237	0.2522815349
238	0.251831499
239	0.2513439567
240	0.2509285145
241	0.250504242
242	0.2500565796
243	0.2496283986
244	0.2490573986
245	0.2485308769
246	0.2480837655
247	0.2478507413
248	0.2474792147
249	0.2470908842
250	0.2467600682
251	0.2463977804
252	0.2461142713
253	0.2457762897
254	0.2453913492
