iter	Passed	Remaining
0	5	5493
1	11	5654
2	18	6030
3	23	5912
4	29	5864
5	35	5859
6	41	5886
7	47	5866
8	53	5843
9	58	5807
10	65	5892
11	71	5872
12	77	5855
13	82	5837
14	89	5856
15	95	5902
16	101	5892
17	107	5883
18	114	5888
19	119	5868
20	126	5874
21	132	5875
22	137	5856
23	143	5837
24	149	5820
25	156	5866
26	162	5858
27	170	5924
28	176	5908
29	182	5892
30	187	5872
31	193	5862
32	201	5893
33	207	5903
34	214	5906
35	220	5893
36	226	5897
37	233	5899
38	240	5920
39	249	5997
40	256	5994
41	263	6003
42	269	6008
43	276	5998
44	282	5985
45	287	5970
46	293	5956
47	299	5942
48	305	5933
49	311	5923
50	317	5910
51	323	5896
52	329	5879
53	334	5863
54	341	5865
55	347	5855
56	352	5836
57	358	5824
58	364	5811
59	370	5810
60	376	5799
61	382	5787
62	388	5779
63	394	5766
64	402	5786
65	413	5845
66	422	5880
67	428	5871
68	434	5858
69	440	5846
70	446	5839
71	452	5828
72	457	5815
73	463	5802
74	469	5789
75	475	5781
76	481	5767
77	488	5768
78	493	5754
79	499	5743
80	505	5734
81	511	5724
82	517	5712
83	522	5702
84	528	5688
85	534	5677
86	540	5667
87	545	5656
88	551	5646
89	557	5641
90	563	5629
91	569	5622
92	575	5614
93	581	5603
94	587	5592
95	592	5584
96	598	5573
97	605	5572
98	611	5568
99	618	5565
100	624	5563
101	631	5558
102	639	5567
103	648	5591
104	654	5582
105	661	5576
106	667	5567
107	672	5557
108	678	5546
109	684	5536
110	690	5526
111	695	5514
112	701	5505
113	706	5493
114	712	5484
115	718	5475
116	724	5465
117	730	5456
118	735	5446
119	741	5437
120	747	5427
121	752	5417
122	758	5407
123	764	5399
124	769	5387
125	775	5376
126	780	5366
127	786	5357
128	792	5348
129	797	5337
130	803	5333
131	811	5335
132	817	5330
133	824	5326
134	830	5321
135	838	5324
136	843	5316
137	849	5308
138	858	5320
139	864	5311
140	870	5304
141	876	5295
142	882	5286
143	887	5277
144	893	5270
145	899	5261
146	905	5253
147	911	5246
148	917	5237
149	922	5229
150	928	5220
151	933	5210
152	939	5201
153	944	5190
154	950	5181
155	956	5173
156	961	5164
157	967	5157
158	973	5149
159	979	5140
160	984	5131
161	990	5122
162	995	5113
163	1003	5116
164	1011	5117
165	1017	5112
166	1023	5107
167	1030	5101
168	1036	5097
169	1043	5095
170	1051	5096
171	1057	5089
172	1063	5082
173	1068	5074
174	1074	5066
175	1080	5058
176	1086	5050
177	1092	5042
178	1097	5035
179	1103	5028
180	1109	5021
181	1115	5013
182	1121	5004
183	1126	4996
184	1132	4989
185	1138	4980
186	1143	4972
187	1149	4965
188	1155	4957
189	1161	4950
190	1166	4942
191	1172	4934
192	1178	4926
193	1183	4918
194	1189	4910
195	1195	4903
196	1201	4896
197	1209	4898
198	1216	4895
199	1222	4889
200	1228	4883
201	1234	4878
202	1246	4892
203	1252	4886
204	1257	4878
205	1263	4870
206	1269	4863
207	1275	4856
208	1281	4848
209	1286	4840
210	1292	4833
211	1298	4826
212	1304	4818
213	1309	4810
214	1315	4803
215	1321	4796
216	1327	4788
217	1332	4781
218	1338	4773
219	1344	4765
220	1350	4759
221	1355	4751
222	1362	4746
223	1368	4739
224	1373	4732
225	1381	4732
226	1387	4725
227	1393	4717
228	1403	4724
229	1412	4730
230	1419	4725
231	1426	4721
232	1432	4716
233	1439	4711
234	1446	4708
235	1453	4704
236	1461	4706
237	1467	4699
238	1473	4692
239	1479	4685
240	1485	4677
241	1491	4670
242	1497	4663
243	1502	4656
244	1508	4648
245	1514	4641
246	1520	4634
247	1525	4626
248	1531	4618
249	1537	4611
250	1543	4604
251	1548	4596
252	1554	4588
253	1560	4582
254	1566	4575
255	1571	4568
256	1577	4560
257	1583	4553
258	1589	4546
259	1594	4539
260	1602	4538
261	1609	4534
262	1615	4528
263	1622	4522
264	1630	4522
265	1637	4517
266	1643	4511
267	1651	4512
268	1657	4505
269	1663	4498
270	1669	4491
271	1675	4483
272	1681	4476
273	1686	4469
274	1692	4462
275	1698	4455
276	1704	4448
277	1710	4441
278	1715	4434
279	1721	4426
280	1726	4418
281	1732	4410
282	1738	4403
283	1743	4395
284	1749	4388
285	1754	4381
286	1760	4373
287	1766	4365
288	1771	4358
289	1777	4351
290	1783	4345
291	1789	4337
292	1794	4330
293	1800	4324
294	1807	4320
295	1814	4314
296	1820	4310
297	1827	4304
298	1834	4300
299	1842	4298
300	1849	4293
301	1855	4287
302	1860	4280
303	1867	4274
304	1872	4267
305	1878	4260
306	1884	4254
307	1890	4247
308	1896	4240
309	1901	4233
310	1907	4226
311	1913	4219
312	1919	4212
313	1924	4205
314	1930	4198
315	1936	4191
316	1942	4184
317	1947	4176
318	1953	4169
319	1958	4162
320	1964	4155
321	1969	4147
322	1975	4140
323	1980	4132
324	1986	4125
325	1992	4118
326	2000	4116
327	2006	4111
328	2013	4106
329	2019	4100
330	2025	4094
331	2034	4092
332	2042	4092
333	2048	4085
334	2054	4078
335	2060	4072
336	2066	4066
337	2072	4059
338	2078	4052
339	2083	4045
340	2089	4038
341	2095	4031
342	2101	4024
343	2106	4017
344	2112	4011
345	2118	4003
346	2124	3997
347	2129	3990
348	2135	3983
349	2140	3975
350	2146	3968
351	2152	3962
352	2158	3955
353	2163	3948
354	2169	3941
355	2175	3934
356	2180	3927
357	2186	3920
358	2191	3913
359	2200	3912
360	2207	3907
361	2213	3901
362	2220	3896
363	2226	3890
364	2233	3885
365	2241	3882
366	2250	3881
367	2256	3874
368	2262	3868
369	2267	3861
370	2273	3854
371	2279	3848
372	2285	3841
373	2291	3834
374	2296	3828
375	2302	3821
376	2308	3814
377	2314	3808
378	2320	3801
379	2325	3794
380	2332	3788
381	2337	3781
382	2343	3775
383	2351	3772
384	2357	3765
385	2363	3758
386	2368	3752
387	2374	3745
388	2380	3738
389	2385	3731
390	2391	3725
391	2398	3719
392	2405	3714
393	2412	3710
394	2420	3706
395	2426	3701
396	2432	3695
397	2445	3698
398	2450	3691
399	2456	3684
400	2461	3677
401	2467	3671
402	2475	3666
403	2480	3659
404	2486	3653
405	2492	3646
406	2497	3639
407	2503	3632
408	2509	3626
409	2515	3619
410	2521	3613
411	2527	3607
412	2533	3601
413	2539	3595
414	2545	3588
415	2551	3581
416	2556	3574
417	2562	3567
418	2568	3561
419	2573	3554
420	2579	3547
421	2585	3540
422	2590	3534
423	2597	3529
424	2604	3523
425	2610	3518
426	2617	3512
427	2623	3506
428	2633	3504
429	2640	3500
430	2646	3493
431	2652	3487
432	2658	3481
433	2664	3474
434	2671	3469
435	2676	3462
436	2683	3457
437	2689	3450
438	2695	3444
439	2701	3437
440	2706	3431
441	2712	3424
442	2717	3417
443	2723	3410
444	2729	3404
445	2735	3397
446	2740	3390
