iter	Passed	Remaining
0	2	2413
1	5	2654
2	7	2547
3	10	2601
4	13	2745
5	16	2685
6	18	2566
7	19	2446
8	21	2346
9	22	2264
10	24	2161
11	25	2102
12	27	2070
13	29	2056
14	30	2023
15	32	1998
16	34	1972
17	35	1947
18	36	1897
19	37	1861
20	39	1842
21	41	1826
22	42	1811
23	44	1798
24	48	1881
25	49	1870
26	51	1858
27	53	1848
28	54	1837
29	56	1827
30	58	1819
31	59	1810
32	61	1800
33	63	1791
34	64	1784
35	66	1776
36	68	1769
37	69	1763
38	71	1757
39	73	1758
40	75	1757
41	76	1755
42	78	1753
43	80	1755
44	82	1753
45	84	1747
46	85	1741
47	87	1734
48	89	1727
49	90	1720
50	92	1715
51	93	1710
52	95	1710
53	97	1705
54	98	1699
55	100	1694
56	102	1688
57	103	1688
58	105	1687
59	107	1685
60	109	1683
61	111	1684
62	113	1682
63	114	1681
64	116	1676
65	117	1666
66	119	1661
67	120	1657
68	122	1651
69	124	1647
70	125	1643
71	127	1640
72	128	1631
73	130	1637
74	132	1635
75	134	1632
76	135	1630
77	137	1628
78	139	1627
79	148	1710
80	151	1722
81	155	1737
82	158	1745
83	159	1741
84	161	1735
85	162	1731
86	164	1726
87	166	1724
88	167	1719
89	169	1715
90	171	1710
91	172	1707
92	174	1702
93	176	1697
94	177	1693
95	179	1688
96	180	1683
97	182	1679
98	183	1674
99	185	1670
100	187	1671
101	188	1662
102	191	1666
103	193	1664
104	195	1663
105	197	1662
106	198	1660
107	200	1658
108	202	1657
109	208	1687
110	211	1690
111	213	1693
112	216	1695
113	218	1699
114	221	1702
115	223	1700
116	225	1698
117	227	1697
118	229	1695
119	230	1693
120	232	1689
121	234	1686
122	236	1682
123	237	1679
124	239	1674
125	240	1670
126	242	1666
127	243	1662
128	245	1657
129	247	1653
130	249	1653
131	250	1650
132	252	1646
133	254	1643
134	255	1639
135	257	1637
136	259	1634
137	261	1631
138	262	1628
139	264	1625
140	266	1624
141	268	1622
142	270	1619
143	271	1615
144	273	1612
145	275	1609
146	276	1606
147	281	1620
148	284	1622
149	287	1628
150	290	1633
151	292	1631
152	294	1629
153	296	1626
154	297	1623
155	298	1616
156	300	1613
157	301	1608
158	304	1608
159	307	1616
160	309	1613
161	311	1612
162	313	1610
163	315	1608
164	317	1604
165	319	1603
166	321	1604
167	326	1617
168	329	1617
169	331	1618
170	334	1619
171	336	1621
172	341	1630
173	345	1642
174	350	1651
175	353	1654
176	355	1654
177	358	1657
178	363	1667
179	367	1674
180	370	1677
181	373	1677
182	376	1679
183	379	1684
184	383	1690
185	386	1690
186	389	1694
187	396	1710
188	398	1711
189	401	1713
190	405	1716
191	410	1725
192	411	1722
193	413	1719
194	415	1716
195	417	1713
196	419	1709
197	421	1708
198	423	1704
199	425	1702
200	427	1698
201	429	1695
202	430	1691
203	433	1691
204	435	1690
205	437	1687
206	438	1681
207	442	1686
208	446	1688
209	449	1690
210	451	1687
211	454	1690
212	456	1686
213	458	1683
214	459	1679
215	461	1675
216	463	1671
217	464	1667
218	466	1664
219	468	1660
220	469	1656
221	471	1652
222	473	1649
223	474	1645
224	476	1642
225	478	1638
226	480	1634
227	481	1630
228	483	1627
229	484	1623
230	486	1619
231	488	1616
232	489	1612
233	491	1608
234	493	1605
235	495	1603
236	497	1600
237	498	1596
238	500	1593
239	502	1590
240	503	1586
241	505	1582
242	506	1579
243	508	1574
244	509	1569
245	510	1565
246	512	1562
247	514	1558
248	515	1555
249	517	1552
250	519	1548
251	520	1545
252	522	1542
253	524	1539
254	525	1536
255	527	1532
256	529	1529
257	531	1527
258	532	1524
259	534	1520
260	535	1517
261	537	1514
262	539	1511
263	540	1508
264	542	1504
265	544	1501
266	545	1498
267	547	1495
268	549	1491
269	550	1488
270	552	1485
271	553	1482
272	555	1479
273	560	1484
274	562	1482
275	564	1480
276	566	1477
277	567	1474
278	569	1472
279	571	1469
280	573	1466
281	574	1463
282	576	1461
283	578	1459
284	580	1456
285	582	1453
286	584	1451
287	585	1448
288	587	1445
289	589	1442
290	591	1440
291	595	1443
292	597	1441
293	599	1438
294	600	1435
295	602	1433
296	604	1430
297	606	1427
298	607	1424
299	609	1422
300	611	1419
301	613	1417
302	614	1414
303	616	1411
304	618	1408
305	620	1406
306	621	1401
307	623	1399
308	625	1398
309	627	1396
310	629	1393
311	631	1392
312	633	1389
313	634	1387
314	636	1384
315	642	1390
316	645	1390
317	647	1389
318	650	1389
319	652	1386
320	655	1387
321	661	1393
322	665	1395
323	668	1395
324	673	1399
325	675	1397
326	677	1395
327	680	1394
328	683	1394
329	686	1393
330	689	1393
331	692	1392
332	694	1391
333	697	1390
334	702	1395
335	706	1397
336	710	1397
337	713	1396
338	716	1397
339	721	1401
340	724	1400
341	726	1398
342	734	1407
343	737	1405
344	739	1404
345	743	1404
346	749	1409
347	752	1410
348	755	1408
349	760	1412
350	763	1412
351	765	1409
352	767	1407
353	769	1404
354	771	1402
355	773	1399
356	776	1397
357	780	1399
358	782	1397
359	785	1397
360	787	1394
361	789	1392
362	792	1391
363	794	1388
364	796	1386
365	798	1383
366	800	1380
367	803	1379
368	804	1376
369	809	1378
370	811	1375
371	813	1373
372	816	1372
373	817	1368
374	819	1366
375	823	1366
376	826	1365
377	828	1363
378	830	1360
379	831	1357
380	833	1354
381	836	1352
382	839	1352
383	841	1349
384	842	1346
385	844	1343
386	846	1340
387	847	1337
388	849	1334
389	851	1331
390	852	1328
391	854	1325
392	855	1322
393	857	1318
394	859	1315
395	860	1312
396	862	1309
397	863	1306
398	865	1303
399	867	1300
400	868	1297
401	870	1294
402	871	1291
403	873	1288
404	875	1285
405	876	1282
406	878	1279
407	880	1277
408	881	1274
409	883	1271
410	885	1268
411	886	1265
412	888	1262
413	890	1259
414	891	1256
415	893	1255
416	895	1252
417	897	1249
418	899	1246
419	901	1244
420	903	1242
421	909	1245
422	912	1244
423	916	1245
424	920	1245
425	922	1243
426	927	1244
427	932	1245
428	935	1245
429	938	1244
430	942	1243
431	943	1240
432	945	1237
433	947	1235
434	949	1232
435	950	1230
436	952	1227
437	954	1224
438	957	1224
439	961	1223
440	963	1221
441	965	1218
442	967	1215
443	968	1213
444	970	1210
445	972	1208
446	974	1205
447	976	1203
448	978	1200
449	979	1197
450	981	1194
451	983	1191
452	984	1189
453	986	1186
454	988	1183
455	989	1180
456	991	1178
457	993	1175
458	994	1172
459	996	1169
460	998	1166
461	999	1164
462	1001	1161
463	1003	1158
464	1004	1155
465	1006	1153
466	1007	1150
467	1009	1147
468	1011	1144
469	1012	1142
470	1014	1139
471	1016	1136
472	1017	1133
473	1020	1132
474	1022	1130
475	1024	1127
476	1025	1124
477	1027	1122
478	1029	1119
479	1032	1118
480	1036	1118
481	1038	1116
482	1041	1114
483	1044	1113
484	1047	1112
485	1051	1112
486	1053	1109
487	1055	1106
488	1056	1104
489	1058	1101
490	1059	1098
491	1061	1096
492	1063	1093
493	1064	1090
494	1066	1088
495	1068	1085
496	1070	1083
497	1071	1080
498	1073	1077
499	1075	1075
500	1076	1072
501	1078	1069
502	1079	1066
503	1080	1063
504	1082	1061
505	1085	1059
506	1087	1057
507	1089	1054
508	1091	1052
509	1093	1050
510	1095	1048
511	1098	1047
512	1101	1045
513	1104	1044
514	1107	1043
515	1110	1041
516	1114	1041
517	1116	1038
518	1119	1037
519	1122	1035
520	1125	1034
521	1130	1034
522	1132	1033
523	1135	1031
524	1138	1029
525	1141	1028
526	1144	1027
527	1148	1026
528	1155	1028
529	1163	1031
530	1164	1028
531	1167	1026
532	1169	1024
533	1175	1025
534	1176	1022
535	1178	1020
536	1180	1018
537	1182	1015
538	1184	1013
539	1186	1010
540	1187	1007
541	1190	1005
542	1192	1003
543	1197	1003
544	1200	1002
545	1202	1000
546	1205	998
547	1207	995
548	1210	994
549	1214	993
550	1218	992
551	1221	991
552	1224	989
553	1227	987
